site,plot,event,year,doy,date,genus
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,125
clarkharvard,G03,lod,2010,Acer,rubrum,188
clarkharvard,G03,lod,2010,Acer,rubrum,188
clarkharvard,G03,lod,2010,Acer,rubrum,144
clarkharvard,G03,lod,2010,Acer,rubrum,188
clarkharvard,G03,lod,2010,Acer,rubrum,188
clarkharvard,G03,lod,2011,Acer,rubrum,146
clarkharvard,G03,lod,2011,Acer,rubrum,146
clarkharvard,G03,lod,2011,Acer,rubrum,214
clarkharvard,G03,lod,2011,Acer,rubrum,146
clarkharvard,G03,lod,2011,Acer,rubrum,214
clarkharvard,G03,lod,2011,Acer,rubrum,164
clarkharvard,G03,lod,2011,Acer,rubrum,146
clarkharvard,G03,lod,2011,Acer,rubrum,164
clarkharvard,G03,lod,2011,Acer,rubrum,214
clarkharvard,G03,lod,2011,Acer,rubrum,214
clarkharvard,G03,lod,2011,Acer,rubrum,146
clarkharvard,G03,lod,2011,Acer,rubrum,146
clarkharvard,G03,lod,2012,Acer,rubrum,207
clarkharvard,G03,lod,2012,Acer,rubrum,207
clarkharvard,G03,lod,2012,Acer,rubrum,207
