plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040322,29,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040322,30.9,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040322,29.1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040322,28.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040322,29.6,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040322,24.3,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040322,27.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040322,26,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040322,29.4,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040322,30.4,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040322,29.3,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040322,25.4,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040322,27.4,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040322,28.4,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040322,29.1,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040322,26.7,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040322,27.9,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040322,27.6,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040322,28.6,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040322,25.1,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040322,29.7,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040322,31,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040322,28.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040322,30.2,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040322,27.7,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040322,28.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040322,27.4,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040322,29,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040322,29.8,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040322,28.1,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
