"Accepted Symbol","Synonym Symbol","Scientific Name"
"ALSCS","","Allium schoenoprasum var. sibiricum"
"ALSC2","","Allium scilloides"
"ALSC3","","Allium scorodoprasum"
"ALSCR","","Allium scorodoprasum ssp. rotundum"
"ALSE3","","Allium serra"
"ALSH2","","Allium sharsmithiae"
"ALSH","","Allium shevockii"
"ALSI","","Allium simillimum"
"ALSI2","","Allium siskiyouense"
"ALSP2","","Allium speculae"
"ALSP4","","Allium sphaerocephalon"
"ALST","","Allium stellatum"
"ALTE","","Allium textile"
"ALTO","","Allium tolmiei"
"ALTOP","","Allium tolmiei var. persimile"
"ALTOP2","","Allium tolmiei var. platyphyllum"
"ALTOT","","Allium tolmiei var. tolmiei"
"ALTR2","","Allium tribracteatum"
"ALTR3","","Allium tricoccum"
"ALTR4","","Allium triquetrum"
"ALTU3","","Allium tuberosum"
"ALTU","","Allium tuolumnense"
"ALUN","","Allium unifolium"
"ALVA","","Allium validum"
"ALVI3","","Allium victorialis"
"ALVI","","Allium vineale"
"ALVIC3","","Allium vineale ssp. compactum"
"ALVIV","","Allium vineale ssp. vineale"
"ALYO","","Allium yosemitense"
"ALDI4","","Allophyllum divaricatum"
"ALGI","","Allophyllum gilioides"
"ALGIG","","Allophyllum gilioides ssp. gilioides"
"ALGIV","","Allophyllum gilioides ssp. violaceum"
"ALGL3","","Allophyllum glutinosum"
"ALIN3","","Allophyllum integrifolium"
"ALVI2","","Allotropa virgata"
"ALHO4","","Allowissadula holosericea"
"ALLO2","","Allowissadula lozanii"
"ALPA14","","Almutaster pauciflorus"
"ALMA11","","Alocasia macrorrhizos"
"ALMAR","","Alocasia macrorrhizos var. rubra"
"ALOD3","","Alocasia odora"
"ALPL5","","Alocasia plumbea"
"ALSC12","","Aloe ×schoenlandi"
"ALVE2","","Aloe vera"
"ALDR2","","Alophia drummondii"
"ALCA6","","Alpinia carolinensis"
"ALMU2","","Alpinia mutica"
"ALPU11","","Alpinia pubiflora"
"ALPU4","","Alpinia purpurata"
"ALZE","","Alpinia zerumbet"
"ALHA2","","Alstroemeria haemantha"
"ALPS","","Alstroemeria psittacina"
"ALPU2","","Alstroemeria pulchella"
"ALBE","","Alternanthera bettzichiana"
"ALBR5","","Alternanthera brasiliana"
"ALCA5","","Alternanthera caracasana"
"ALCR8","","Alternanthera crucis"
"ALFI8","","Alternanthera ficoidea"
"ALFL","","Alternanthera flavescens"
"ALFL5","","Alternanthera flavogrisea"
"ALMA10","","Alternanthera maritima"
"ALPA17","","Alternanthera paronychioides"
"ALPAA2","","Alternanthera paronychioides var. amazonica"
