,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
370,1998,puu 9,1/5/98,121.00,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,1
371,1998,puu 9,2/5/98,122.00,0,1,0,0,1,0,0,1,1,0,,,,,,,,,,,4
372,1998,puu 9,3/5/98,123.00,0,1,0,0,1,0,1,1,1,0,,,,,,,,,,,5
373,1998,puu 9,4/5/98,124.00,0,1,1,1,1,0,1,1,1,0,,,,,,,,,,,7
374,1998,puu 9,5/5/98,125.00,0,1,1,1,1,0,1,1,1,0,,,,,,,,,,,7
375,1998,puu 9,6/5/98,126.00,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,8
376,1998,puu 9,7/5/98,127.00,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,8
377,1998,puu 9,8/5/98,128.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
384,1998,puu10,1/5/98,121.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
385,1998,puu10,2/5/98,122.00,1,0,1,1,1,0,,0,0,1,,,,,,,,,,,5
386,1998,puu10,3/5/98,123.00,1,1,1,1,1,0,,,1,1,,,,,,,,,,,7
387,1998,puu10,4/5/98,124.00,1,1,1,1,1,0,,,1,1,,,,,,,,,,,7
388,1998,puu10,5/5/98,125.00,1,1,1,1,1,0,,,1,1,,,,,,,,,,,7
389,1998,puu10,6/5/98,126.00,1,1,1,1,1,1,,,1,1,,,,,,,,,,,8
398,1998,puu11,1/5/98,121.00,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,2
399,1998,puu11,2/5/98,122.00,,,,,,1,1,,1,1,,,,,,,,,,,4
413,1998,puu12,2/5/98,122.00,1,0,0,1,1,0,1,1,1,1,,,,,,,,,,,7
414,1998,puu12,3/5/98,123.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
415,1998,puu12,4/5/98,124.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
416,1998,puu12,5/5/98,125.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
417,1998,puu12,6/5/98,126.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
418,1998,puu12,7/5/98,127.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
419,1998,puu12,8/5/98,128.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
420,1998,puu12,9/5/98,129.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
427,1998,puu13,2/5/98,122.00,1,1,1,1,0,0,1,0,1,0,,,,,,,,,,,6
428,1998,puu13,3/5/98,123.00,1,1,1,1,0,0,1,0,1,1,,,,,,,,,,,7
429,1998,puu13,4/5/98,124.00,1,1,1,1,0,1,1,0,1,1,,,,,,,,,,,8
430,1998,puu13,5/5/98,125.00,1,1,1,1,0,1,1,0,1,1,,,,,,,,,,,8
431,1998,puu13,6/5/98,126.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
441,1998,puu14,2/5/98,122.00,1,0,1,1,1,0,0,0,1,0,,,,,,,,,,,5
442,1998,puu14,3/5/98,123.00,1,0,1,1,1,0,0,0,1,0,,,,,,,,,,,5
443,1998,puu14,4/5/98,124.00,1,0,1,1,1,0,0,1,1,0,,,,,,,,,,,6
444,1998,puu14,5/5/98,125.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
445,1998,puu14,6/5/98,126.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
453,1998,puu15,30/4/98,120.00,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1
454,1998,puu15,1/5/98,121.00,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1
455,1998,puu15,2/5/98,122.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
468,1998,puu16,1/5/98,121.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
469,1998,puu16,2/5/98,122.00,1,0,0,0,1,0,1,0,0,0,,,,,,,,,,,3
470,1998,puu16,3/5/98,123.00,1,0,0,0,1,0,1,0,0,0,,,,,,,,,,,3
471,1998,puu16,4/5/98,124.00,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,4
472,1998,puu16,5/5/98,125.00,1,1,0,0,1,0,1,1,0,0,,,,,,,,,,,5
473,1998,puu16,6/5/98,126.00,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,8
474,1998,puu16,7/5/98,127.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
482,1998,puu17,1/5/98,121.00,1,1,1,1,1,1,0,1,1,0,,,,,,,,,,,8
483,1998,puu17,2/5/98,122.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
496,1998,puu18,1/5/98,121.00,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,2
497,1998,puu18,2/5/98,122.00,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,9
498,1998,puu18,3/5/98,123.00,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,9
499,1998,puu18,4/5/98,124.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
507,1998,puu19,28/4/98,118.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
