Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Epilobium hirsutum,3-Jul,9-Jul,10-Jul,20-Jun,9-Jul,21-Jun,1-Jul,11-Jul,9-Jul,9-Jul,4-Jul,5-Jul,8-Jul,7-Jul, ,3-Jul,21-Jun,8-Jul,18-Jul,8-Jul,29-Jun,4-Jul,4-Jul,9-Jul,8-Jul,29-Jul,4-Jul,12-Jul,26-Jul,5-Jul,29-Jun,5-Jul,2-Jul,6-Jul,1-Jul,26-Jun,1-Jul,17-Jul,24-Jun,1-Jul, ,6-Jul, , , ,28-Jun, ,,,,,,,,,,,,,,,
Epilobium montanum,8-Jun,9-Jun,16-Jun,24-May,13-Jun,3-Jun,30-May,31-May, ,12-Jun,28-May,11-Jun,9-Jun,1-Jun,3-Jun,9-Jun,3-Jun,18-Jun,21-Jun,6-Jun, ,10-Jun,11-Jun, ,10-Jun,8-Jun,7-Jun,12-Jun,1-Jun, ,10-Jun,1-Jun,16-Jun,4-Jun,9-Jun,18-May,26-May, ,20-May,23-May,14-Jun,30-May,15-Jun,31-May,24-Apr,17-May,31-May,,,,,,,,,,,,,,,
Epilobium parviflorum,12-Jul,29-Jun, ,9-Jul,6-Jul,27-Jun, , , , , , , , ,6-Jul, ,13-Jun, ,23-Jul,10-Jul,20-Jul,27-Jul,11-Jul,10-Jul,15-Jul, , ,10-Jul,25-Jul, ,11-Jul,11-Jul,27-Jun, ,1-Jul,8-Jul,, ,30-Jun,11-Jul,9-Jul,18-Jul, ,9-Jul, ,20-Jun, ,,,,,,,,,,,,,,,
Epipactis helleborine, , ,13-Aug,7-Jul, ,19-Jul,30-Jul,13-Jul,5-Aug,24-Jul,25-Jul,1-Aug,6-Aug, ,22-Jul,2-Aug, ,4-Aug, , , , ,9-Jul,11-Aug,25-Jul,2-Aug, ,31-Jul, ,3-Aug,6-Aug, , , , , ,11-Aug,28-Jul, ,23-Jul,21-Jul, ,16-Aug,30-Jul, , , ,,,,,,,,,,,,,,,
Epipactis purpurata,19-Aug, ,15-Aug,28-Jul,13-Aug,23-Jul,1-Aug,22-Jul,14-Aug,7-Aug,26-Jul,5-Aug,6-Aug,23-Jul,7-Aug,5-Aug,31-Jul,17-Aug,14-Aug,29-Jul, ,25-Jul,25-Jul, ,14-Aug,10-Aug,10-Aug,8-Aug,30-Jul,5-Aug,4-Aug,21-Aug,6-Aug,12-Aug,18-Aug,26-Jul,31-Jul,10-Aug,28-Jul,7-Aug,29-Jul,29-Jul,11-Aug,29-Jul,9-Aug,30-Jul, ,,,,,,,,,,,,,,,
Equisetum palustre, , , ,12-May, ,17-Apr,23-Apr, , ,30-Apr,25-Apr, , , ,5-May,19-Apr,16-May, ,14-Apr,29-Apr, , ,30-Apr,14-May, , , ,17-Apr, , , ,19-May,26-May, ,10-May, ,18-Apr,23-Apr,3-May,25-Apr,26-Apr,9-May,21-May,2-May, ,29-Apr,17-May,,,,,,,,,,,,,,,
Equisetum arvense, ,25-Apr,28-Apr,30-Mar, ,14-Apr, , , ,28-Apr, , ,23-Apr, ,20-Apr, , ,25-Apr,14-Apr,19-Apr,13-Apr, , , ,16-Apr, , ,20-Apr,20-Apr, , , , , ,16-Apr, , ,6-Apr,4-Apr,3-Apr, , ,1-May,14-Apr,17-Apr,4-May,1-May,,,,,,,,,,,,,,,
Equisetum telmateia, , , , ,29-Apr, , , , , , , ,21-Apr,15-Apr, , , ,9-Apr,22-Apr, ,17-Apr, , , ,7-Apr,22-Apr,19-Apr,2-Apr,4-Apr,9-Apr,14-Apr,28-Apr,13-Apr, ,25-Mar,27-Apr,14-Mar,24-Mar,8-Apr,13-Apr,29-Apr,4-Apr,23-Apr,1-Apr,28-Mar, ,20-Mar,,,,,,,,,,,,,,,
Erigeron acer, ,4-Jun,9-Aug,31-Jul, , ,13-Jul, ,20-Jul, ,8-Aug,2-Aug,25-Jul,5-Aug,27-Jul, , ,20-Jul,27-Aug,19-Jul, , ,19-Jul, ,9-Aug,17-Jul, , ,25-Jul,25-Jul, , ,30-Jul,19-Aug,20-Jul, ,, , ,7-Jul,9-Jul, ,7-Aug,12-Jul, , , ,,,,,,,,,,,,,,,
Erysimum cheiri,23-Mar,29-Feb,11-Apr, , , , ,17-Mar,3-Feb, , , ,18-Mar, , , , , ,28-Mar,18-Jan,2-Apr,9-Jan, , ,12-Mar, , ,24-Jan,20-Feb,4-Feb,15-Apr, , ,11-Apr,29-Mar,9-Mar,, , ,5-Mar,15-Feb,1-Feb, , ,18-Mar,17-Apr,18-Mar,,,,,,,,,,,,,,,
Euonymus europaeus, ,3-Jun,27-May,19-May,15-May,16-May,16-May,7-May,24-May,31-May,17-May,21-May, ,13-May, ,31-May,1-Jun,24-May,30-May,1-Jun,25-May,20-May,16-May,30-May,4-May,2-Jun,23-May, ,16-May,3-Jun,29-May,26-May,10-Jun,14-May,16-May,10-May,7-May,22-May, ,27-Apr,13-May,1-May,1-Jun,30-Apr, ,15-May,8-May,,,,,,,,,,,,,,,
Eupatorium cannabinum,24-Jul,20-Jul, ,13-Jul,13-Jul,15-Jul,2-Jul, ,24-Jul, , , , ,21-Jul, ,27-Jul,28-Jul, , ,9-Jul, ,18-Jul,16-Jul,29-Jul,25-Jul,28-Jul,26-Jul, , , ,18-Jul,31-Jul,26-Jul, ,12-Jul,8-Jul,16-Jul,17-Jul,7-Jul,21-Jul,21-Jul, , ,11-Jul, ,5-Jul, ,,,,,,,,,,,,,,,
Euphorbia amygdaloides,30-Apr,29-Apr, ,23-Mar,1-May,9-Apr,30-Apr,17-Mar,2-May,4-May,26-Apr,4-Apr,18-Mar,19-Apr,25-Apr,12-Apr,6-May,18-Apr,8-Apr, ,30-Mar,22-Mar,7-Apr,30-Apr,9-May,5-May,29-Mar,21-Mar,10-Apr,28-Apr,22-Apr,17-Apr,4-May, ,16-Apr,24-Mar,16-Mar,8-Apr,11-Apr, ,4-Apr,26-Mar,29-Apr, , ,22-Apr,3-May,,,,,,,,,,,,,,,
Euphorbia exigua,11-Jul,11-Jul,5-Jul,30-Jun,22-Jul,26-Jul,2-Jul, ,7-Jul,22-Jul,26-Jul,3-Jul,8-Jul,7-Jul,1-Jul, ,22-Jun, ,1-Jul,17-Jul,5-Jul,28-Jun,17-Jun,7-Jul,27-Jun,1-Jul,18-Jun,5-Jul,23-Jun,25-Jun,30-Jun,29-Jun,30-Jun, ,30-Jun,9-Jul,1-Jun,7-Jul,16-May,13-Jun, , , ,9-Jun,22-Jul, ,14-Jul,,,,,,,,,,,,,,,
Euphorbia helioscopia,16-Jun,10-May,6-Mar,8-Apr,15-May,28-Jun,19-Apr, ,23-Apr, , , ,17-Jun,26-May,9-Jun,26-May,12-May,21-Apr,14-Apr,16-Mar, ,19-Apr,22-Apr, ,8-Mar,28-Jun,15-Apr,21-Apr, , ,8-Mar, , ,25-Jun, ,28-Apr,18-Mar,26-Apr, , ,1-May,6-Mar, ,24-Feb,31-Mar, , ,,,,,,,,,,,,,,,
Fagus sylvatica, ,16-May,6-May, ,9-May, ,7-May, ,12-May,10-May,9-May,15-May,17-May,13-May,7-May, ,9-May,29-May,21-May,26-May,12-May, ,2-May,24-May, ,19-May,17-May,28-May,5-May,8-May,27-Apr,24-May,20-May,6-May, ,15-May,23-Apr,20-May,17-May,4-May,4-May,3-May, ,2-May,7-May,17-May,8-May,,,,,,,,,,,,,,,
Fallopia convolvulus, ,24-Jun,30-Jun,1-Jul, ,14-Jun,2-Jul, ,9-Jul, ,5-Jul, , ,17-Jul, ,30-Jun,17-Jun,14-Jul,6-Jul, , , ,1-Jul,6-Jul,22-Jun,21-Jul,1-Jul, ,19-Jun,27-Jun,11-Jul,15-Jul,4-Jul,1-Jul,20-Jun,29-Jun, ,15-Jul, , ,23-Jun,6-Jul,15-Jul, ,18-Jul, ,20-Jun,,,,,,,,,,,,,,,
Fallopia japonica, ,19-Aug, , , , , , , , , , ,25-Aug, ,27-Aug,11-Sep,9-Sep, , ,28-Aug,24-Aug, , ,30-Aug,12-Aug, ,14-Aug,8-Sep,17-Aug,13-Sep,4-Sep,11-Sep, ,1-Sep,23-Aug,6-Sep, ,25-Aug,11-Sep,15-Aug, , ,6-Sep,8-Aug,12-Aug,1-Sep, ,,,,,,,,,,,,,,,
Festuca arundinacea  , , , , ,10-May,5-May,10-May,16-Apr, ,18-May,17-May, ,14-May,10-May,24-May,8-May,16-May,8-May, ,5-May,24-May,14-May, ,7-May,23-May, , , ,15-May,20-May,10-May, , ,24-May,30-Apr,30-Apr,27-Apr,12-May,20-Apr,30-Apr,23-Apr,28-Apr,28-May,19-May,21-May,9-May,9-May,,,,,,,,,,,,,,,
Festuca gigantea ,27-Jul,23-Jul, ,11-Jul,22-Jul,13-Jul,23-Jul,21-Jul, ,29-Jul,25-Jul,21-Jul,30-Jul,19-Jul,20-Jul,22-Jul,17-Jul,27-Jul,23-Jul,21-Jul,12-Jul,10-Jul,11-Jul,23-Jul,28-Jul,20-Jul,20-Jul,11-Jul,7-Jul,15-Jul,19-Jul, ,24-Jul,31-Jul,25-Jul,20-Jul,20-Jul,10-Jul,20-Jun,5-Jul,26-Jun, , , ,21-Jul,15-Jul, ,,,,,,,,,,,,,,,
Festuca pratensis  , ,17-Jun,15-Jun,24-May,15-Jun,24-May,4-Jun,28-May, , ,14-May, , ,17-Jun,2-Jun,9-Jun,11-Jun,26-May,26-May,28-May,27-May, , , ,29-May,16-Jun, , ,25-May, ,9-Jun,9-Jun,28-May,3-Jun,11-Jun,27-May,17-Jun,7-Jun,7-Jun, ,16-Jun, ,19-Jun,9-Jun,29-May,24-May,20-Jun,,,,,,,,,,,,,,,
Festuca rubra  , ,20-Apr,24-Apr,27-Mar,22-Apr, , ,16-Apr, ,24-Apr,10-May, ,14-May,10-May, , ,16-May, , ,14-May,13-May, ,18-May,14-May, ,13-May,18-May,10-May,16-May,30-May,9-May, ,22-May,6-May,26-Apr, ,6-May,28-Apr,15-May,13-May,8-May,29-Apr,9-May,5-May,23-Apr,30-Apr,9-May,,,,,,,,,,,,,,,
Filipendula ulmaria,3-Jul,23-Jun,4-Jul,19-May,21-Jun,19-Jun,8-Jul, ,2-Jul,19-Jun,9-Jul,4-Jul,12-Jul, ,5-Jul,19-Jun,11-Jun, ,3-Jul,10-Jul,10-Jul, ,25-Jun,11-Jul,5-Jul,7-Jul,17-Jun,12-Jun,20-Jun, ,13-Jul,15-Jun,15-Jul,12-Jun,3-Jul,21-Jun,27-May, ,12-Jun,13-Jun,11-Jun, ,5-Jul,9-Jun,21-Jun,19-Jun, ,,,,,,,,,,,,,,,
Filipendula vulgaris,20-Jun, ,4-Jul,29-May,20-Jun,20-Jun,4-Jun, , ,2-Jul,5-Jul, ,8-Jun, ,30-Jun, , , , , ,4-Jul,14-Jun, ,12-Jun, ,3-Jul,4-Jul,16-Jun, , , ,17-Jun,6-Jul, ,3-Jul, ,, ,1-Jun,13-Jun,26-Jun, , ,16-Jun, ,2-Jun, ,,,,,,,,,,,,,,,
Fumaria officinalis, ,22-May,18-Apr,11-Apr,10-May,24-Apr,20-May,20-Apr,10-May,9-Jun,5-Jun,24-Apr,27-May,12-May,3-Jun,24-May, ,14-May,10-Apr,27-Apr, , ,1-May,1-May, ,26-May,17-May,9-May,15-May,15-Jan,3-Apr,4-May,1-Jun,28-May,30-Apr, ,29-Mar, ,3-May, , ,27-Apr,5-May, ,18-May,21-May,13-May,,,,,,,,,,,,,,,
Galanthus nivalis, , , ,6-Feb,26-Jan,5-Feb,25-Jan,24-Jan,23-Jan,6-Mar,31-Jan, , , , ,31-Jan,1-Feb, , ,21-Jan, ,15-Jan, , , , , ,26-Jan,31-Jan, , , , , , ,22-Jan,17-Jan,2-Feb,11-Feb,29-Jan,14-Jan,7-Jan, , ,3-Jan,9-Jan, ,,,,,,,,,,,,,,,
Galega officinalis, , , , , ,23-Jul, , , ,2-Jul,7-Jul, , ,11-Jul, , , ,6-Jul,12-Jul,11-Jul,25-Jul, , ,7-Jul,21-Jul,7-Jul,10-Jul,30-Jun,16-Jun,6-Jul,4-Jul, ,24-Jul, ,28-Jun,22-Jun, ,13-Jul,23-Jun,5-Jul,12-Jul,27-Jun, ,18-Jul,22-Jul,21-Jun,29-Jun,,,,,,,,,,,,,,,
Galeopsis tetrahit ss, ,19-Jul,14-Aug,19-Aug,10-Jul,6-Aug, ,5-Aug, ,28-Jul, ,27-Jul, , ,26-Jul, , , ,12-Aug,13-Aug,15-Aug, ,25-Jul, , , , ,9-Aug,24-Jul, ,19-Jul, ,8-Jul, ,19-Jul, ,, ,31-Jul, ,7-Aug, ,21-Jul,30-Jul,12-Aug, , ,,,,,,,,,,,,,,,
Galium aparine,14-May,27-May,19-May,21-May,17-May,14-May,12-May,17-Apr,23-May,30-May,17-May,21-Apr,19-May,12-May,22-May,16-May,22-May,16-May,11-May, ,17-May,23-May,16-May,30-May,26-May,26-May,13-May,22-Apr,15-May,7-May,8-May,7-May,24-May,7-May,28-Apr,4-May,25-Apr,16-May,6-May,22-May,1-May,8-May,10-May,23-Apr,15-May,23-Apr,9-May,,,,,,,,,,,,,,,
Galium odoratum, , ,10-May,10-Apr,8-May,17-Apr,25-Apr,15-Apr, ,10-May,10-May,10-May,23-Apr,20-Apr,1-May, , ,8-May,5-May,8-May,14-Apr, ,2-May,6-May, , ,10-May,30-Apr,30-Apr,10-May,10-May, , ,7-May,25-Apr,19-Apr,17-Apr,7-May,25-Apr,28-Apr,2-May,3-May,13-May,20-Apr,2-May,27-Apr,3-May,,,,,,,,,,,,,,,
Galium saxatile, ,5-Jun,30-May,21-May, , ,29-May,1-Jun, ,4-Jun, ,12-Jun,9-Jun,11-Jun, ,18-Jun,31-May, , ,11-Jun,28-May, , , ,12-Jun,17-Jun,13-Jun,24-May,2-Jun, ,7-Jun,9-Jun,2-Jun,31-May,4-Jun,30-May,, ,23-May,25-May,28-May,30-May, ,19-May,30-May,28-May, ,,,,,,,,,,,,,,,
Galium uliginosum, ,24-Jun,4-Jul,2-Jul,23-Jun,21-Jun, , , ,13-Jul, , ,13-Jun, ,6-Jul, , , , ,14-Jul, , ,11-Jul,10-Jul,9-Jun,13-Jul,18-Jun,19-Jun,4-Jul,2-Jul, ,29-Jun,8-Jul, , ,18-Jun,, , ,13-Jun,9-Jul, ,19-Jun, , ,1-Jul,12-Jun,,,,,,,,,,,,,,,
Gentianella amarella,22-Aug,19-Aug, , ,3-Aug,6-Aug, ,31-Jul, ,10-Aug,28-Jul,11-Aug,27-Jul,10-Aug,18-Aug,18-Aug,23-Aug, ,13-Aug,10-Aug,21-Aug,3-Aug, , , ,11-Aug, ,8-Aug,10-Aug, , ,24-Aug, , ,8-Aug, ,18-Aug,11-Aug,25-Jul,8-Aug,14-Aug,9-Aug, ,29-Jul, , , ,,,,,,,,,,,,,,,
Gentianella germanica,15-Aug,19-Aug,18-Aug,2-Aug,21-Aug, ,21-Aug,6-Aug,23-Aug,9-Aug,8-Aug,6-Aug,20-Aug, ,18-Aug, ,21-Aug,24-Aug,24-Aug,9-Aug,21-Aug,26-Aug,29-Aug,28-Aug,24-Jun,26-Aug,29-Aug,21-Aug, ,13-Aug,26-Aug,20-Aug,16-Aug,29-Aug, , , ,26-Aug,15-Aug,3-Aug,24-Jul,24-Aug, ,10-Aug,27-Aug,24-Jun, ,,,,,,,,,,,,,,,
Geranium dissectum, ,9-May,28-May,30-Apr,25-May,28-May,21-May, ,31-May,19-May,3-Jun, ,19-May,25-May,22-May, , ,29-May,29-May,2-May, , , ,30-May,7-Jun,31-May,1-Jun,5-May,22-May,4-Jun,23-May,17-May,31-May,7-May,24-Apr,30-Apr,29-Apr, ,3-May,28-May,23-May,21-May, , ,23-May,21-May,2-May,,,,,,,,,,,,,,,
Geranium phaeum, , , ,23-May, ,12-May,16-May,9-May,21-May,25-May,15-May, ,7-May,7-May,19-May,27-May,23-May,14-May, ,30-May, ,4-May, , , ,6-Jun,17-May,22-May,17-May, , ,25-May,1-Jun,22-May,11-May,9-May,9-May,23-May,22-May,11-May,22-May,24-Mar,4-Jun,11-May,11-May,8-May,10-May,,,,,,,,,,,,,,,
Geranium pyrenaicum, ,29-May,15-May,9-May, ,15-May,23-May,8-May,23-May,15-May, ,3-Jun,19-May,20-May,23-May,6-Jun,17-May,23-May, ,24-May,25-May,26-May, ,2-Jun,26-May,9-Jun,24-May,28-May,15-May,6-Jun,9-Jun,30-May,13-Jun,26-May,7-Jun,22-May,12-May,24-May,19-May,22-May, ,8-May,11-May,16-May, , ,3-May,,,,,,,,,,,,,,,
Geranium robertianum,4-May,4-May,5-May,3-Apr,4-May,3-Apr,5-May,2-Mar,4-May,4-May,5-May,3-Apr,4-May,4-May,5-May,4-May,4-May,4-May,4-Apr,3-Apr,4-May,4-May, ,3-Apr, ,4-May,5-May,3-Apr,4-May,4-May,5-May,4-May,4-May,4-May,4-Apr,2-Mar, ,10-May, , ,27-Apr, ,5-May, ,6-Apr,15-Apr,20-Apr,,,,,,,,,,,,,,,
Geranium rotundifolium, , ,2-May,7-May,8-May,9-May, ,16-Apr, ,9-May, , , ,7-May, , ,12-May,25-Apr,28-Apr,29-Apr, , , , , ,18-May, ,6-May, ,26-Apr,1-May,7-May, , ,23-Apr,28-Apr,, , , ,1-May,11-May,12-May, ,30-May, ,21-Apr,,,,,,,,,,,,,,,
Geum urbanum, ,10-May,19-May,7-May, ,17-May,25-May,18-May,24-May,5-Jun, ,23-May,28-May,24-May,1-Jun,1-Jun,30-May,21-May,29-May, ,26-May,26-May,16-May,1-Jun,4-Jun,19-May,22-May,15-May,22-May,27-May,17-May,26-May, ,19-May,15-May, ,1-May,16-May,15-May,12-Apr,28-Apr,5-May,5-May,28-Apr, ,8-May,9-Apr,,,,,,,,,,,,,,,
Glechoma hederacea,20-Mar,31-Mar,2-Apr,21-Mar,14-Apr,12-Apr,16-Apr,30-Mar,21-Apr,21-Apr,13-Apr,10-Apr,3-Apr,26-Mar,8-Apr,17-Apr,19-Apr,11-Apr,2-Apr,29-Mar,29-Mar,27-Mar,4-Apr,16-Apr,15-Apr,19-Apr,29-Mar,26-Mar,27-Mar,27-Mar,13-Apr,8-Apr,20-Apr,10-Apr,27-Mar,10-Mar,10-Mar, ,26-Mar,17-Mar,15-Mar,22-Mar,13-Apr,22-Mar,19-Mar,2-Apr,18-Mar,,,,,,,,,,,,,,,
Glyceria fluitans  , , , ,31-May, , ,4-Jun,16-Jun,6-Jun, , ,6-Jun,22-May,10-Jun,30-May,8-Jun,9-Jun, , , , ,3-Jun, ,12-Jun,19-Jun,17-Jun, ,11-Jun, , ,14-Jun, , ,31-May, ,20-May,, , ,31-May,28-May, ,14-Jun, , ,19-May,13-Jun,,,,,,,,,,,,,,,
Glyceria maxima  ,22-Jun,18-Jun,4-Jul,2-Jul, , ,1-Jul, , ,4-Jul, ,6-Jul, , ,24-Jun, ,6-Jul, , , , ,29-Jun,20-Jun,10-Jul,2-Jul, ,15-Jul,24-Jun, ,11-Jul,5-Jul,24-Jun,3-Jul,20-Jun,17-Jun,14-Jun,, ,5-Jul,4-Jul, , ,15-Jun,22-Jun, , ,1-Jul,,,,,,,,,,,,,,,
Gymnadenia conopsea,19-Jun,19-Jun,24-Jun,10-Jun,19-Jun,9-Jun,11-Jun,6-Jun,30-Jun,11-Jun,16-Jun,3-Jun,12-Jun, ,28-Jun,18-Jun,13-Jun, ,24-Jun,8-Jun,21-Jun,13-Jun,12-Jun, , ,26-Jun,12-Jun,16-Jun,18-Jun,11-Jun,30-Jun, ,22-Jun,13-Jun,26-Jun, ,17-Jun,17-Jun, ,8-Jun,11-Jun,17-Jun,14-Jun,16-Jun,17-Jun, , ,,,,,,,,,,,,,,,
Hedera helix,22-Sep,30-Aug,23-Sep,27-Sep,24-Sep, , ,27-Sep, , ,28-Sep, ,15-Sep,17-Sep, , , ,7-Sep, ,8-Sep, ,2-Sep,28-Aug,17-Sep,12-Sep,22-Sep,8-Sep,15-Sep, ,10-Sep,11-Sep,18-Sep,25-Sep,15-Sep,17-Sep,26-Aug,, ,6-Sep,8-Sep,10-Sep,27-Sep,3-Sep,7-Sep,29-Aug, , ,,,,,,,,,,,,,,,
Helianthemum nummularium, ,19-May,23-May,28-Apr,25-May,24-Apr,16-May,2-May,30-May,28-May,7-Jun,16-May,19-May,6-May,25-May,6-Jun,29-May,14-May,29-May,26-May,18-May,25-May,8-May,2-Jun,3-Jun,10-Jun,29-May,8-Jun,15-May,31-May,5-Jun,10-May,13-Jun,31-May,29-May,22-May,9-May,26-May,18-May, , ,25-May,13-Jun,6-May,29-May,25-May,21-May,,,,,,,,,,,,,,,
Helictotrichon pratensis  , ,27-May, , , ,25-May, ,9-May,20-May, , ,6-Jun,29-May, ,12-Jun, , ,24-May,16-Jun,6-Jun,19-May,27-May, , , ,14-Jun,1-Jun, , ,7-Jun,5-Jun,9-Jun,23-Jun,21-Jun, ,13-May,26-May,11-Jun, , ,29-May, , ,16-Jun,22-Jun, , ,,,,,,,,,,,,,,,
Helictotrichon pubescens  , ,22-May,31-May,14-May,19-May,11-May,24-May,15-May,22-May,19-May,17-May,16-May,20-May,20-May, , ,25-May,21-May,18-May,28-May,19-May,14-May,15-May, ,24-May, ,21-May,21-May,17-May,15-May,29-May, ,23-May,25-May,29-May,7-May,13-May,30-May,17-May, , , ,26-May, , , ,21-May,,,,,,,,,,,,,,,
Helleborus viridis        ,16-Mar,17-Mar,28-Mar,21-Feb,23-Feb,13-Mar,14-Mar,19-Feb,9-Mar,27-Mar, ,13-Feb,27-Feb,26-Feb, ,8-Mar,24-Mar,14-Feb,19-Feb,9-Feb,28-Feb,5-Jan,31-Jan,27-Feb,4-Mar,24-Mar,20-Feb,28-Feb,9-Feb,30-Jan,5-Feb,3-Mar,23-Feb,28-Feb,10-Feb,29-Jan, ,9-Mar,24-Feb,31-Jan,30-Jan,30-Jan,14-Mar,4-Mar,15-Feb,14-Feb,19-Feb,,,,,,,,,,,,,,,
Heracleum sphondylium, ,28-May, ,6-May,28-Apr,3-Apr,22-May,13-Apr, ,29-May,22-May,1-Jun,20-May,1-Jun,5-May,12-Apr,2-Jun,26-May,4-May,16-May,12-Apr,16-May,20-May,4-Apr,7-Jun,8-Jun,25-May,15-May,10-May,31-Mar,10-Jun,25-May,7-Jun,25-May, ,12-Mar, , ,29-Apr,28-Apr, ,12-May, , , , ,5-May,,,,,,,,,,,,,,,
Hesperis matronalis, ,22-Apr,1-Jun,24-May,24-May,16-May,24-May,9-May, ,1-Jun,25-May,26-May,5-Jun,26-May,6-Jun, ,29-May,14-May,14-May,3-Jun,31-May,7-Jun,8-May,30-May,8-May,5-Jun,23-May,21-May,25-May,4-Jun,28-May, ,15-Jun,18-May,24-May,19-May,11-May, ,2-Jun, ,4-Jun, ,13-Jun,21-May, ,19-May,15-May,,,,,,,,,,,,,,,
Hieracium sabaudum, ,1-Aug,30-Jul,27-Jul,7-Aug,28-Jul,1-Aug,2-Aug,11-Aug,9-Aug,26-Jul,8-Aug, ,3-Aug,2-Aug,26-Jul,1-Aug,8-Aug,15-Aug,25-Jul,5-Aug, ,28-Jul, ,30-Jul,1-Aug,8-Aug,2-Aug,31-Jul,29-Jul,4-Aug,28-Jul,31-Jul,3-Aug,18-Aug,31-Jul,, ,5-Aug,5-Aug, ,4-Aug,8-Aug,12-Aug,8-Aug,23-Jul, ,,,,,,,,,,,,,,,
Hordeum distichon  , ,3-Jun, , , , , , , ,27-Jun, ,11-Jun,6-Jun, , ,1-Jun,29-May,30-May,27-May,1-Jun,2-Jun,15-Jun, ,21-May,27-May,16-Jun,23-May,15-May,16-May,25-May,15-May,27-May,1-Jun,24-May,5-Jun,15-May,9-May,26-May, ,24-May,15-May,7-Jun,1-Jun,27-May,28-May,18-May, ,,,,,,,,,,,,,,,
Hordeum murinum  , , , , ,18-Jun, , , , ,22-Jun, , , ,10-Jun, ,18-Jun, ,16-Jun,17-Jun,4-Jun, ,11-Jun,12-Jun,4-Jun,3-Jun,9-Jun,21-May, ,5-Jun, ,14-Jun, ,4-Jun,4-Jun,27-May,31-May,, ,21-May,29-May, ,8-May,14-Jun, , , ,13-May,,,,,,,,,,,,,,,
Hordeum secalinum  , , , ,2-Jul, ,25-Jun,1-Jul, ,3-Jul,11-Jul, , , ,1-Jul, , ,20-Jun,9-Jul,23-Jul, ,30-Jun,6-Jul,4-Jul, ,9-Jul,21-Jul,13-Jul, ,19-Jun, , , ,6-Jul, ,5-Jul,18-Jun,22-Jun,17-Jul,26-Jun, , , , ,30-Jun,21-Jun,28-Jun, ,,,,,,,,,,,,,,,
Hyacinthoides x variabilis, , , , ,28-Apr, ,2-May,16-Apr, ,20-May, , ,20-May, ,4-May, , ,25-Apr,25-Apr,26-Apr, ,18-Apr,8-May, ,11-May,18-Apr,13-May, ,22-Apr,5-May, ,3-May,14-May,8-May,19-Apr,28-Mar,18-Apr,23-Apr, , ,20-Apr,6-Apr,12-May, ,20-Apr, , ,,,,,,,,,,,,,,,
Hypericum hirsutum,6-Jul,9-Jul,7-Jul,22-Jun,5-Jul,26-Jun,2-Jul, ,8-Jul,1-Jul,3-Jul,13-Jul, ,1-Jul, , ,6-Jul,11-Jul,19-Jul,11-Jul,4-Jul,14-Jul,25-Jun,15-Jul,9-Jul,9-Jul,3-Jul,2-Jul,1-Jul,10-Jul,29-Jun,7-Jul,1-Jul,5-Jul,7-Jul,27-Jun,1-Jul,12-Jul,21-Jun,25-Jun,7-Jul,19-Jul,11-Jul,2-Jul, ,26-Jun,29-Jun,,,,,,,,,,,,,,,
Hypericum perforatum,12-Jul,9-Jul,6-Jul,22-Jun, ,26-Jun,28-Jun,13-Jul,28-Jun,19-Jun,28-Jun,13-Jul,8-Jul,30-Jun,6-Jul, ,22-Jun,6-Jul,11-Jul,26-Jun,1-Jul,10-Jul,30-Jun,13-Jul,6-Jul,7-Jul,29-Jun,4-Jul,23-Jun,30-Jun,5-Jul, ,4-Jul,8-Jul,28-Jun,22-Jun,14-Jun,10-Jul,20-Jun,28-Jun,7-Jul,27-Jun,11-Jul,24-Jun, ,20-Jun,21-Jun,,,,,,,,,,,,,,,
Hypericum pulchrum,2-Jul,8-Jul,10-Jul,19-Jun,25-Jun,22-Jun,28-Jun,16-Jun, ,11-Jul,3-Jul,12-Jul, ,1-Jul,22-Jul,22-Jun, ,5-Jul, , ,5-Jul,28-Jun, ,11-Jul,6-Jul,6-Jul,8-Jul, ,11-Jul,8-Jul,15-Jul,22-Jun,2-Jul, ,6-Jul,23-Jun,16-Jun,11-Jul,16-Jun,30-Jun,15-Jun,30-Jun,4-Jul,21-Jun, ,21-Jun,2-Jul,,,,,,,,,,,,,,,
Hypericum tetrapterum,22-Jul,20-Jul,24-Jul,13-Jul,23-Jul,25-Jul,2-Jul, , ,27-Jun,19-Jul,22-Jul, ,8-Jul, , , ,23-Jul,23-Jul,14-Jul,14-Jul,27-Jul,19-Jul, , , ,20-Jul, , , ,8-Jul, ,31-Jul, ,12-Jul, ,, , ,1-Jul,21-Jul,1-Jul, ,27-Jul, , , ,,,,,,,,,,,,,,,
