BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
20,S,3,6679,U. americana,121,132,127,132,135,,tiny bud at top of stump
20,S,4,6486,P. serotina,93,95,102,104,109,,
20,S,5,6279,P. grand,95,.,104,107,111,,not a prunus. A willow.
20,S,6,6278,P. grand,.,107,109,109,117,,
20,S,7,6487,P. serotina,83,83,86,88,93,,
20,S,8,6678,U. americana,102,107,107,109,115,,
21,N,1,6280,P. grand,xxx,xxx,xxx,xxx,xxx,y,
21,N,2,6081,B. popul,xxx,xxx,xxx,xxx,xxx,y,
21,N,3,6480,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
21,N,4,6680,U. americana,104,107,107,109,115,,
21,N,5,6360,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
21,N,6,6080,B. popul,xxx,xxx,xxx,xxx,xxx,y,
21,N,7,6481,P. serotina,88,93,93,100,107,,
21,N,8,6681,U. americana,93,93,100,102,109,,
21,S,1,6283,P. grand,xxx,xxx,xxx,xxx,xxx,y,dried
21,S,2,6682,U. americana,100,115,107,107,115,,
21,S,3,6683,U. americana,107,107,109,109,115,,
21,S,4,6483,P. serotina,xxx,xxx,xxx,xxx,xxx,y,eaten from below
21,S,5,6082,B. popul,xxx,xxx,xxx,xxx,xxx,y,
21,S,6,6482,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
21,S,7,6083,B. popul,xxx,xxx,xxx,xxx,xxx,y,
21,S,8,6282,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
22,N,1,6358,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
22,N,2,6472,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
22,N,3,6284,P. grand,xxx,xxx,xxx,xxx,xxx,y,
22,N,4,6685,U. americana,95,104,104,107,109,,
22,N,5,6473,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
22,N,6,6084,B. popul,xxx,xxx,xxx,xxx,xxx,y,
22,N,7,6684,U. americana,93,104,.,100,115,,
22,N,8,6085,B. popul,xxx,xxx,xxx,xxx,xxx,y,
22,S,1,6687,U. americana,88,93,100,104,107,,
22,S,2,6287,P. grand,xxx,xxx,xxx,xxx,xxx,y,
22,S,3,6475,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
22,S,4,6557,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
22,S,5,6286,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
22,S,6,6086,B. popul,xxx,xxx,xxx,xxx,xxx,y,
22,S,7,6686,U. americana,100,104,.,107,111,,
22,S,8,6087,B. popul,xxx,xxx,xxx,xxx,xxx,y,
23,N,1,6089,B. popul,83,83,88,93,102,,
23,N,2,6289,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
23,N,3,6088,B. popul,93,93,.,107,111,,
