BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
12,Setaria glauca,,,,,,,,,
12,Setaria viridens,,,,,,,,,
12,Silene alba ,,,,,,179,<300,,
12,Tanacetum vulgare ,,,,,,,<300,,
12,Taraxacum officinale ,,,,,,,,,
12,Trifolium pratense ,,,,,,,,,
12,Trifolium repens ,,,,,,,,,
12,Veronica arvensis ,4,,,127,,134,143,,
12,Digitaria ischaemum,,,,,,,,,
12,Linaria vulgaris,,,,,,,<300,,
12,,,,,,,,,,
12,,,,,,,,,,
13,Achillea millefolium,,4,119,143,150,179,<300,,
13,Asclepias syriaca ,,,150,,,179,<300,,
13,Berteroa incana,,,,,,,,,
13,Capsella bursa-pastoris ,,,,,,,,,
13,Cerastium fontanum ,,,,,,,,,
13,Chenopodium album,,,,,,,,,
13,Conyza canadensis,,,,,,,,,
13,Dactylis glomerata ,1,,127,,143,,179,,
13,Digitaria ischaemum,,,,,,,,,
13,Draba verna ,,,,,,,,,
13,Elymus repens ,,,,,,,,,
13,Erigeron annuus ,,,,,,,,,
13,Festuca spp. ,,,,,,,,,
13,Oxalis stricta ,,,,134,,,<300,,
13,Phleum pratense ,,,,,,,,,
13,Plantago lanceolata ,,,,,150,,179,,
13,Poa trivialis,30,,119,134,,143,179,,
13,Potentilla argentea ,15,,119,134,143,179,<300,,
13,Rumex crispus ,,1,127,,,143,150,,
13,Setaria glauca,,,,,,,,,
13,Silene alba ,2,,,127,134,150,179,,
13,Tanacetum vulgare ,,,179,,,,<300,,
13,Taraxacum officinale ,,,,,,,,,
13,Trifolium pratense ,,,,,,,,,
13,Trifolium repens ,,,,,,,,,
13,Veronica arvensis ,3,,,127,,,134,,
13,Setaria viridens,,,,,,,,,
13,,,,,,,,,,
13,,,,,,,,,,
14,Achillea millefolium,,,119,150,,179,<300,,
14,Asclepias syriaca ,,,143,143,,179,<300,,
14,Berteroa incana,,,,,,,,,
14,Capsella bursa-pastoris ,,,,,,,,,
14,Cerastium fontanum ,,,,,,,,,
14,Conyza canadensis,,,,,,,,,
14,Dactylis glomerata ,,,127,,143,,179,,
14,Draba verna ,,,,,,,,,
14,Elymus repens ,,,,,,,,,
14,Erigeron annuus ,,,,,,,,,
14,Festuca spp. ,,,134,,,,<300,,
14,Lepidium virginicum,,,,,,,,,
14,Oenothera biennis,,,,,,,,,
14,Oxalis stricta ,,,,134,,,179,,
14,Phleum pratense ,,,,,,,,,
14,Plantago lanceolata ,,,,,,,,,
14,Poa trivialis,5,,127,,143,,179,,
14,Potentilla argentea ,70,,127,134,143,179,<300,,
