JULIAN DAY,TIME,Plot,air,7.5,aa
1,615,1,1.753,3.332,
1,615,2,-4.7872,3.6899,
1,615,3,-2.394,4.1772,
1,615,4,,5.168,
1,615,5,,3.9902,
1,615,6,-2.0095,3.6711,
1,615,7,1.5463,4.335,
1,615,8,0.57768,-8.569,
1,615,9,-5.6467,3.8069,
1,615,10,1.8663,3.9174,
1,615,11,0.09429,2.2249,
1,615,12,4.0571,5.948,
1,615,13,0.71474,6.7002,
1,615,14,0.75939,2.9635,
1,615,15,2.1673,2.1567,
1,615,16,-3.0943,3.286,
1,615,17,,,
1,615,18,-10.12,4.2899,
1,615,19,-1.1687,3.4315,
1,615,20,-2.5799,3.6561,
1,630,1,1.7291,3.2987,
1,630,2,-4.7789,3.6515,
1,630,3,-2.3977,4.1422,
1,630,4,,5.1358,
1,630,5,,3.9552,
1,630,6,-2.0017,3.6384,
1,630,7,1.5138,4.3055,
1,630,8,0.56985,-8.4986,
1,630,9,-5.5967,3.7668,
1,630,10,1.8436,3.8831,
1,630,11,0.07032,2.2012,
1,630,12,4.0272,5.9224,
1,630,13,0.69722,6.685,
1,630,14,0.73916,2.933,
1,630,15,2.1462,2.1362,
1,630,16,-3.0866,3.2573,
1,630,17,,,
1,630,18,-9.9737,4.2622,
1,630,19,-1.0967,3.4005,
1,630,20,-2.5466,3.6246,
1,645,1,1.7037,3.2657,
1,645,2,-4.7876,3.6181,
1,645,3,-2.419,4.1074,
1,645,4,,5.1046,
1,645,5,,3.9226,
1,645,6,-1.9966,3.6089,
1,645,7,1.4815,4.2766,
1,645,8,0.5595,-8.4685,
1,645,9,-5.591,3.7333,
1,645,10,1.8201,3.8497,
1,645,11,0.05004,2.1757,
1,645,12,3.9974,5.8957,
1,645,13,0.67653,6.6673,
1,645,14,0.71657,2.9001,
1,645,15,2.1224,2.1128,
1,645,16,-3.0965,3.226,
1,645,17,,,
1,645,18,-9.9565,4.2331,
1,645,19,-1.0695,3.3674,
1,645,20,-2.6149,3.5932,
1,700,1,1.6829,3.2357,
1,700,2,-4.8095,3.5889,
1,700,3,-2.3948,4.0772,
1,700,4,,5.0758,
1,700,5,,3.8929,
1,700,6,-1.9981,3.5814,
1,700,7,1.456,4.2517,
1,700,8,0.5427,-8.4177,
1,700,9,-5.5983,3.7097,
1,700,10,1.802,3.8202,
1,700,11,0.04261,2.1603,
