year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,, , 
8,3,8,170,2,3,4,5,6,,4.5,3.75,,,
8,3,8,175,2,6,,,,,6,6,,,
8,3,8,136,3,0,,,,,0,0,,,
8,3,8,146,3,1,2,,,,1.5,1.25,,,
8,3,8,153,3,3,4,,,,3.5,3.75,,,
8,3,8,159,3,3,4,5,6,,4.5,4.75,,,
8,3,8,170,3,6,,,,,6,6,,,
8,3,8,136,4,0,,,,,0,0,,,
8,3,8,146,4,1,2,3,,,2,1.5,,,
8,3,8,153,4,1,2,3,4,,2.5,2.75,,,
8,3,8,159,4,3,4,5,6,,4.5,3.25,,,
8,3,8,170,4,3,4,5,6,,4.5,3.75,,,
8,3,8,175,4,6,,,,,6,6,,,
8,3,8,136,5,0,,,,,0,0,,,
8,3,8,146,5,1,2,3,,,2,2,,,
8,3,8,153,5,3,,,,,3,3,,,
8,3,8,159,5,3,,,,,3,3,,,
8,3,8,170,5,6,,,,,6,6,,,
8,3,9,136,1,0,,,,,0,0,,,
8,3,9,146,1,1,2,3,4,,2.5,2.25,,,
8,3,9,153,1,3,4,,,,3.5,3.5,,,
8,3,9,159,1,3,4,5,,,4,4.25,,,
8,3,9,170,1,6,,,,,6,6,,,
8,3,9,136,2,0,,,,,0,0,,,
8,3,9,146,2,1,2,,,,1.5,1.75,,,
8,3,9,153,2,2,3,4,,,3,3.5,,,
8,3,9,159,2,3,4,,,,3.5,3.75,,,
8,3,9,170,2,3,4,5,6,,4.5,4.25,,,
8,3,9,175,2,6,,,,,6,6,,,
8,3,9,136,3,0,,,,,0,0,,,
8,3,9,146,3,1,2,,,,1.5,1.75,,,
8,3,9,153,3,3,4,,,,3.5,3.25,,,
8,3,9,159,3,3,4,5,,,4,4.5,,,
8,3,9,170,3,3,4,5,6,,4.5,4.25,,,
8,3,9,175,3,3,4,5,6,,4.5,4.25,,,
8,3,9,180,3,6,,,,,6,6,,,
8,3,9,136,4,0,,,,,0,0,,,
8,3,9,146,4,1,2,3,,,2,2,,,
8,3,9,153,4,2,3,4,,,3,3.25,,,
8,3,9,159,4,3,4,5,,,4,4.5,,,
8,3,9,170,4,3,4,5,6,,4.5,4.75,,,
8,3,9,175,4,6,,,,,6,6,,,
8,3,9,136,5,0,,,,,0,0,,,
8,3,9,146,5,1,2,,,,1.5,1.75,,,
8,3,9,153,5,3,,,,,3,3,,,
8,3,9,159,5,3,4,,,,3.5,3.75,,,
8,3,9,170,5,6,,,,,6,6,,,
8,3,10,136,1,0,,,,,0,0,,,
