"","site","species","tbase","sens_gddsoil","se_soil","t_soil","p_soil","aic_gddsoil","sens_gddair","se_air","t_air","p_air","aic_gddair"
"465","clarkharvard","Magnolia.virginiana","10","0.085","0.011","7.471","0","227.996","0.091","0.008","11.235","0","211.55"
"466","clarkharvard","Quercus.sp","2","0.047","0.005","9.343","0","387.065","0.055","0.003","19.596","0","335.559"
"467","clarkharvard","Quercus.sp","4","0.059","0.005","11.808","0","372.4","0.06","0.003","18.002","0","342.093"
"468","clarkharvard","Quercus.sp","6","0.066","0.006","10.544","0","379.722","0.068","0.004","17.256","0","345.31"
"469","clarkharvard","Quercus.sp","8","0.078","0.009","8.522","0","392.281","0.079","0.006","13.435","0","363.58"
"470","clarkharvard","Quercus.sp","10","0.097","0.018","5.311","0","413.6","0.103","0.01","10.381","0","380.696"
"471","clarkharvard","Quercus.falcata","2","0.057","0.012","4.697","0.009","57.367","0.05","0.008","5.893","0.004","54.989"
"472","clarkharvard","Quercus.falcata","4","0.062","0.011","5.818","0.004","55.128","0.055","0.01","5.628","0.005","55.482"
"473","clarkharvard","Quercus.falcata","6","0.072","0.013","5.614","0.005","55.509","0.064","0.011","6.059","0.004","54.69"
"474","clarkharvard","Quercus.falcata","8","0.09","0.018","5.126","0.007","56.466","0.077","0.013","5.923","0.004","54.936"
"475","clarkharvard","Quercus.falcata","10","0.113","0.039","2.884","0.045","61.864","0.094","0.027","3.527","0.024","60.131"
"476","clarkharvard","Acer.sp","2","0.075","0.011","6.885","0","156.104","0.066","0.005","13.209","0","137.223"
"477","clarkharvard","Acer.sp","4","0.088","0.01","8.487","0","150.45","0.075","0.006","13.101","0","137.481"
"478","clarkharvard","Acer.sp","6","0.105","0.013","8.31","0","151.04","0.087","0.007","12.811","0","138.178"
"479","clarkharvard","Acer.sp","8","0.151","0.022","6.928","0","155.943","0.108","0.012","9.249","0","147.997"
"480","clarkharvard","Acer.sp","10","0.269","0.102","2.646","0.018","173.826","0.163","0.025","6.466","0","157.699"
"481","clarkharvard","Prunus.pensylvanica","2","0.067","0.007","10.035","0","281.764","0.067","0.004","16.408","0","255.952"
"482","clarkharvard","Prunus.pensylvanica","4","0.083","0.007","11.413","0","275.398","0.077","0.005","15.491","0","259.155"
"483","clarkharvard","Prunus.pensylvanica","6","0.098","0.01","9.329","0","285.215","0.09","0.006","14.454","0","262.955"
"484","clarkharvard","Prunus.pensylvanica","8","0.119","0.017","7.028","0","297.374","0.112","0.009","12.754","0","269.66"
"485","clarkharvard","Prunus.pensylvanica","10","0.136","0.035","3.913","0.001","315.059","0.163","0.015","11.217","0","276.278"
"486","clarkharvard","Prunus.sp","2","0.092","0","4785074604081150","0","-251.59","0.098","0","Inf","0","-Inf"
"487","clarkharvard","Prunus.sp","4","0.112","0","4785074604081150","0","-251.59","0.125","0","1595024868027050","0","-242.801"
"488","clarkharvard","Prunus.sp","6","0.193","0","4785074604081150","0","-251.59","0.266","0","9570149208162300","0","-257.135"
"489","clarkharvard","Prunus.sp","8",NA,NA,NA,NA,"32.472","0.506","0","Inf","0","-Inf"
"490","clarkharvard","Prunus.sp","10",NA,NA,NA,NA,"32.472","1.514","0","3190049736054100","0","-248.346"
"491","sherry","Panicum.virgatum","2","0.029","0.002","16.895","0","668.711","0.014","0.001","9.783","0","743.202"
"492","sherry","Panicum.virgatum","4","0.029","0.002","14.911","0","686.177","0.015","0.002","9.719","0","743.835"
"493","sherry","Panicum.virgatum","6","0.032","0.002","15.321","0","682.485","0.016","0.002","9.909","0","741.943"
"494","sherry","Panicum.virgatum","8","0.03","0.002","12.335","0","710.258","0.018","0.002","10.165","0","739.406"
"495","sherry","Panicum.virgatum","10","0.034","0.003","12.486","0","708.803","0.017","0.002","9.255","0","748.452"
"496","sherry","Achillea.millefolium","2","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"497","sherry","Achillea.millefolium","4","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"498","sherry","Achillea.millefolium","6","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"499","sherry","Achillea.millefolium","8","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"500","sherry","Achillea.millefolium","10","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"501","sherry","Erigeron.strigosus","2","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"502","sherry","Erigeron.strigosus","4","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"503","sherry","Erigeron.strigosus","6","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"504","sherry","Erigeron.strigosus","8","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"505","sherry","Erigeron.strigosus","10","0.034","0.003","12.486","0",NA,"0.017","0.002","9.255","0",NA
"506","sherry","Ambrosia.psilostchya","2","0.014","0.001","11.178","0","1681.887","0.008","0.001","9.731","0","1424.845"
"507","sherry","Ambrosia.psilostchya","4","0.014","0.001","10.132","0","1697.08","0.008","0.001","9.224","0","1431.538"
"508","sherry","Ambrosia.psilostchya","6","0.014","0.001","9.555","0","1705.216","0.008","0.001","8.788","0","1437.165"
"509","sherry","Ambrosia.psilostchya","8","0.012","0.001","8.12","0","1724.428","0.008","0.001","8.351","0","1442.696"
"510","sherry","Ambrosia.psilostchya","10","0.011","0.002","6.426","0","1744.712","0.007","0.001","7.414","0","1454.059"
"511","sherry","Schizachyrium.scoparium","2","0.013","0.001","11.625","0","2286.814","0.009","0.001","9.805","0","2132.567"
"512","sherry","Schizachyrium.scoparium","4","0.013","0.001","10.672","0","2302.191","0.008","0.001","9.025","0","2143.927"
"513","sherry","Schizachyrium.scoparium","6","0.013","0.001","10.012","0","2312.475","0.008","0.001","8.295","0","2154.071"
"514","sherry","Schizachyrium.scoparium","8","0.01","0.001","8.207","0","2338.701","0.008","0.001","7.552","0","2163.847"
"515","sherry","Schizachyrium.scoparium","10","0.007","0.001","5.583","0","2370.26","0.006","0.001","6.09","0","2181.164"
"516","sherry","Andropogon.gerardii","2","0.033","0.001","29.32","0","2202.814","0.022","0.001","19.793","0","2265.36"
"517","sherry","Andropogon.gerardii","4","0.035","0.001","26.932","0","2237.71","0.022","0.001","18.25","0","2290.355"
"518","sherry","Andropogon.gerardii","6","0.037","0.001","25.533","0","2258.817","0.023","0.001","17.259","0","2306.545"
"519","sherry","Andropogon.gerardii","8","0.036","0.002","21.555","0","2321.36","0.024","0.001","16.08","0","2325.884"
"520","sherry","Andropogon.gerardii","10","0.036","0.002","17.451","0","2388.914","0.022","0.002","13.406","0","2369.461"
"521","ellison","Quercus.rubra","2","0.073","0.001","71.225","0","1212.093","0.055","0.001","44.695","0","1312.237"
"522","ellison","Quercus.rubra","4","0.086","0.001","63.288","0","1246.186","0.062","0.002","41.269","0","1333.833"
"523","ellison","Quercus.rubra","6","0.107","0.002","49.873","0","1313.988","0.072","0.002","37.721","0","1357.855"
"524","ellison","Quercus.rubra","8","0.157","0.004","35.126","0","1410.237","0.086","0.003","29.263","0","1423.375"
"525","ellison","Quercus.rubra","10","0.426","0.034","12.403","0","1637.296","0.113","0.006","20.416","0","1507.868"
"526","ellison","Acer.rubrum","2","0.073","0.001","70.98","0","897.966","0.055","0.001","43.792","0","982.432"
"527","ellison","Acer.rubrum","4","0.085","0.001","67.525","0","908.987","0.062","0.001","42.339","0","989.506"
"528","ellison","Acer.rubrum","6","0.106","0.002","54.272","0","956.906","0.071","0.002","40.535","0","998.598"
"529","ellison","Acer.rubrum","8","0.157","0.004","38.92","0","1028.241","0.086","0.003","31.702","0","1048.865"
"530","ellison","Acer.rubrum","10","0.452","0.037","12.184","0","1235.612","0.115","0.005","22.091","0","1118.1"
"531","ellison","Acer.pensylvanicum","2","0.075","0.002","32.001","0","161.868","0.057","0.003","18.85","0","182.399"
"532","ellison","Acer.pensylvanicum","4","0.088","0.003","33.021","0","160.634","0.064","0.003","18.499","0","183.112"
"533","ellison","Acer.pensylvanicum","6","0.111","0.004","29.703","0","164.793","0.074","0.004","17.084","0","186.125"
"534","ellison","Acer.pensylvanicum","8","0.167","0.007","22.754","0","175.175","0.09","0.007","13.823","0","193.993"
"535","ellison","Acer.pensylvanicum","10","0.495","0.117","4.243","0","229.173","0.125","0.012","10.432","0","203.99"
"536","ellison","Viburnum.cassinoides","2","0.081","0.001","72.926","0","754.415","0.063","0.001","50.911","0","810.765"
"537","ellison","Viburnum.cassinoides","4","0.095","0.001","70.2","0","761.452","0.071","0.001","48.138","0","820.809"
"538","ellison","Viburnum.cassinoides","6","0.125","0.002","62.19","0","783.757","0.084","0.002","43.543","0","838.691"
"539","ellison","Viburnum.cassinoides","8","0.197","0.004","46.771","0","835.661","0.105","0.003","35.106","0","876.486"
"540","ellison","Viburnum.cassinoides","10","0.627","0.054","11.619","0","1052.499","0.152","0.006","24.532","0","936.677"
"541","ellison","Prunus.serotina","2","0.079","0.002","40.311","0","301.916","0.063","0.002","40.961","0","300.757"
"542","ellison","Prunus.serotina","4","0.094","0.003","37.199","0","307.726","0.072","0.002","39.097","0","304.13"
"543","ellison","Prunus.serotina","6","0.121","0.004","30.684","0","321.547","0.085","0.002","34.891","0","312.341"
"544","ellison","Prunus.serotina","8","0.19","0.008","22.948","0","342.015","0.111","0.004","29.234","0","324.995"
"545","ellison","Prunus.serotina","10","0.826","0.072","11.457","0","387.053","0.168","0.009","18.855","0","355.458"
"546","ellison","Betula.lenta","2","0.076","0.002","38.724","0","217.783","0.057","0.003","20.9","0","239.904"
"547","ellison","Betula.lenta","4","0.089","0.003","35.035","0","223.284","0.065","0.003","19.708","0","242.894"
"548","ellison","Betula.lenta","6","0.115","0.004","29.279","0","233.085","0.076","0.004","17.94","0","247.634"
"549","ellison","Betula.lenta","8","0.179","0.008","22.341","0","247.644","0.094","0.007","13.649","0","261.014"
"550","ellison","Betula.lenta","10","0.492","0.09","5.461","0","310.407","0.13","0.014","9.087","0","279.241"
"551","ellison","Fagus.grandifolia","2","0.072","0.001","48.529","0","152.916","0.056","0.002","29.903","0","172.98"
"552","ellison","Fagus.grandifolia","4","0.086","0.002","44.06","0","156.938","0.064","0.002","28.677","0","174.701"
"553","ellison","Fagus.grandifolia","6","0.109","0.004","28.084","0","175.558","0.077","0.003","27.045","0","177.102"
"554","ellison","Fagus.grandifolia","8","0.168","0.009","19.51","0","190.333","0.095","0.005","20.459","0","188.431"
"555","ellison","Fagus.grandifolia","10","0.527","0.096","5.461","0","234.485","0.144","0.01","14.336","0","202.443"
"556","ellison","Vaccinium.sp","2","0.084","0.003","29.118","0","260.022","0.067","0.002","34.014","0","250.955"
"557","ellison","Vaccinium.sp","4","0.102","0.004","25.78","0","267.065","0.078","0.002","32.017","0","254.494"
"558","ellison","Vaccinium.sp","6","0.132","0.006","20.651","0","279.706","0.093","0.003","28.405","0","261.46"
"559","ellison","Vaccinium.sp","8","0.205","0.014","15.1","0","296.922","0.124","0.006","22.196","0","275.627"
"560","ellison","Vaccinium.sp","10","0.883","0.073","12.092","0","308.469","0.205","0.014","14.433","0","299.324"
"561","dunne","Mertensiana.fusiformis","2","0.102","0.003","33.898","0","3788.773","0.205","0.014","14.433","0",NA
"562","dunne","Mertensiana.fusiformis","4","0.132","0.004","32.267","0","3824.022","0.205","0.014","14.433","0",NA
"563","dunne","Mertensiana.fusiformis","6","0.185","0.007","26.658","0","3949.366","0.205","0.014","14.433","0",NA
"564","dunne","Mertensiana.fusiformis","8","0.635","0.084","7.601","0","4346.256","0.205","0.014","14.433","0",NA
"565","dunne","Mertensiana.fusiformis","10",NA,NA,NA,NA,"4399.294","0.205","0.014","14.433","0",NA
"566","dunne","Delphinium.nuttallianum","2","0.058","0.002","26.032","0","7542.657","0.205","0.014","14.433","0",NA
"567","dunne","Delphinium.nuttallianum","4","0.079","0.003","29.101","0","7445.715","0.205","0.014","14.433","0",NA
"568","dunne","Delphinium.nuttallianum","6","0.12","0.003","36.469","0","7210.988","0.205","0.014","14.433","0",NA
"569","dunne","Delphinium.nuttallianum","8","0.184","0.014","12.698","0","7912.928","0.205","0.014","14.433","0",NA
"570","dunne","Delphinium.nuttallianum","10","3.052","1.241","2.46","0.014","8056.831","0.205","0.014","14.433","0",NA
"571","dunne","Helianthella.quinquenervis","2","0.052","0.003","19.644","0","2111.887","0.205","0.014","14.433","0",NA
"572","dunne","Helianthella.quinquenervis","4","0.063","0.003","19.314","0","2117.26","0.205","0.014","14.433","0",NA
"573","dunne","Helianthella.quinquenervis","6","0.083","0.005","18.185","0","2135.738","0.205","0.014","14.433","0",NA
"574","dunne","Helianthella.quinquenervis","8","0.05","0.012","4.229","0","2335.566","0.205","0.014","14.433","0",NA
"575","dunne","Helianthella.quinquenervis","10","-0.083","0.176","-0.47","0.639","2352.784","0.205","0.014","14.433","0",NA
"576","dunne","Artemisia.tridentata","2","0.014","0.002","9.318","0","6834.913","0.205","0.014","14.433","0",NA
"577","dunne","Artemisia.tridentata","4","0.016","0.002","8.258","0","6852.026","0.205","0.014","14.433","0",NA
"578","dunne","Artemisia.tridentata","6","0.017","0.003","6.738","0","6873.45","0.205","0.014","14.433","0",NA
"579","dunne","Artemisia.tridentata","8","0.002","0.004","0.449","0.653","6917.581","0.205","0.014","14.433","0",NA
"580","dunne","Artemisia.tridentata","10","0.075","0.026","2.908","0.004","6909.348","0.205","0.014","14.433","0",NA
"581","dunne","Potentilla.hippiana","2","0.054","0.002","25.69","0","4077.901","0.205","0.014","14.433","0",NA
"582","dunne","Potentilla.hippiana","4","0.066","0.003","25.415","0","4084.134","0.205","0.014","14.433","0",NA
"583","dunne","Potentilla.hippiana","6","0.086","0.004","23.463","0","4128.563","0.205","0.014","14.433","0",NA
"584","dunne","Potentilla.hippiana","8","0.026","0.009","3.05","0.002","4495.613","0.205","0.014","14.433","0",NA
"585","dunne","Potentilla.hippiana","10","-0.126","0.161","-0.782","0.434","4504.254","0.205","0.014","14.433","0",NA
"586","dunne","Erigeron.speciosus","2","0.027","0.002","17.978","0","7972.552","0.205","0.014","14.433","0",NA
"587","dunne","Erigeron.speciosus","4","0.033","0.002","18.237","0","7965.419","0.205","0.014","14.433","0",NA
"588","dunne","Erigeron.speciosus","6","0.043","0.002","18.751","0","7951.108","0.205","0.014","14.433","0",NA
"589","dunne","Erigeron.speciosus","8","0.023","0.004","5.851","0","8220.599","0.205","0.014","14.433","0",NA
"590","dunne","Erigeron.speciosus","10","0.118","0.047","2.493","0.013","8248.137","0.205","0.014","14.433","0",NA
"591","dunne","Eriogonum.subalpinum","2","0.046","0.002","27.796","0","4451.457","0.205","0.014","14.433","0",NA
"592","dunne","Eriogonum.subalpinum","4","0.054","0.002","28.415","0","4436.643","0.205","0.014","14.433","0",NA
"593","dunne","Eriogonum.subalpinum","6","0.07","0.002","30.621","0","4384.264","0.205","0.014","14.433","0",NA
"594","dunne","Eriogonum.subalpinum","8","0.09","0.005","16.552","0","4719.738","0.205","0.014","14.433","0",NA
"595","dunne","Eriogonum.subalpinum","10","0.483","0.109","4.432","0","4925.711","0.205","0.014","14.433","0",NA
"596","dunne","Festuca.thurberi","2","0.044","0.002","26.828","0","4768.564","0.205","0.014","14.433","0",NA
"597","dunne","Festuca.thurberi","4","0.053","0.002","27.406","0","4754.313","0.205","0.014","14.433","0",NA
"598","dunne","Festuca.thurberi","6","0.07","0.002","28.593","0","4725.137","0.205","0.014","14.433","0",NA
"599","dunne","Festuca.thurberi","8","0.08","0.006","12.606","0","5103.802","0.205","0.014","14.433","0",NA
"600","dunne","Festuca.thurberi","10","-0.031","0.053","-0.572","0.568","5245.164","0.205","0.014","14.433","0",NA
"601","dunne","Claytonia.lanceolata","2","0.099","0.007","14.429","0","1576.577","0.205","0.014","14.433","0",NA
"602","dunne","Claytonia.lanceolata","4","0.143","0.009","16.157","0","1550.502","0.205","0.014","14.433","0",NA
"603","dunne","Claytonia.lanceolata","6","0.3","0.025","11.867","0","1614.882","0.205","0.014","14.433","0",NA
"604","dunne","Claytonia.lanceolata","8","1.771","0.484","3.656","0","1712.018","0.205","0.014","14.433","0",NA
"605","dunne","Claytonia.lanceolata","10",NA,NA,NA,NA,"1723.116","0.205","0.014","14.433","0",NA
"606","dunne","Lathyrus.lanszwertii","2","0.059","0.01","5.948","0","309.545","0.205","0.014","14.433","0",NA
"607","dunne","Lathyrus.lanszwertii","4","0.079","0.012","6.468","0","305.984","0.205","0.014","14.433","0",NA
"608","dunne","Lathyrus.lanszwertii","6","0.138","0.011","12.05","0","270.125","0.205","0.014","14.433","0",NA
"609","dunne","Lathyrus.lanszwertii","8","0.186","0.069","2.697","0.01","329.53","0.205","0.014","14.433","0",NA
"610","dunne","Lathyrus.lanszwertii","10",NA,NA,NA,NA,"334.561","0.205","0.014","14.433","0",NA
"611","dunne","Eriogonum.umbellatum","2","0.055","0.003","21.565","0","1433.942","0.205","0.014","14.433","0",NA
"612","dunne","Eriogonum.umbellatum","4","0.066","0.003","22.717","0","1419.547","0.205","0.014","14.433","0",NA
"613","dunne","Eriogonum.umbellatum","6","0.094","0.003","29.11","0","1345.67","0.205","0.014","14.433","0",NA
"614","dunne","Eriogonum.umbellatum","8","0.105","0.012","8.824","0","1605.635","0.205","0.014","14.433","0",NA
"615","dunne","Eriogonum.umbellatum","10","0.326","0.248","1.318","0.189","1669.833","0.205","0.014","14.433","0",NA
"616","dunne","Achillea.sp","2","0.082","0.005","15.168","0","385.76","0.205","0.014","14.433","0",NA
"617","dunne","Achillea.sp","4","0.099","0.006","15.397","0","384.415","0.205","0.014","14.433","0",NA
"618","dunne","Achillea.sp","6","0.134","0.008","17.206","0","374.234","0.205","0.014","14.433","0",NA
"619","dunne","Achillea.sp","8","0.155","0.072","2.149","0.036","473.309","0.205","0.014","14.433","0",NA
"620","dunne","Achillea.sp","10",NA,NA,NA,NA,"475.905","0.205","0.014","14.433","0",NA
