year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
7,3,7,191,4,3,6,,,,4.5,5.75,
7,3,7,198,4,6,,,,,6,6,
7,3,7,151,5,0,,,,,0,0,
7,3,7,156,5,1,2,,,,1.5,1.25,
7,3,7,162,5,1,2,3,,,2,1.75,
7,3,7,170,5,1,2,3,4,,2.5,2.25,
7,3,7,177,5,1,2,3,4,,2.5,3.5,
7,3,7,183,5,4,5,6,,,5,5,
7,3,7,191,5,5,6,,,,5.5,5.75,
7,3,7,198,5,6,,,,,6,6,
7,3,8,151,1,0,,,,,0,0,
7,3,8,156,1,1,2,,,,1.5,1.25,
7,3,8,162,1,1,2,,,,1.5,1.5,
7,3,8,170,1,1,2,4,,,2.333333333,3.5,
7,3,8,177,1,2,3,4,,,3,3.75,
7,3,8,183,1,3,5,6,,,4.666666667,5,
7,3,8,191,1,5,6,,,,5.5,5.5,
7,3,8,198,1,6,,,,,6,6,
7,3,8,151,2,0,,,,,0,0,
7,3,8,156,2,1,2,,,,1.5,1.5,
7,3,8,162,2,1,2,4,,,2.333333333,2.25,
7,3,8,170,2,1,2,3,4,,2.5,3.5,
7,3,8,177,2,3,4,5,,,4,4,
