site,genus,species,scrub.genus,scrub.species,sev.code,scrub_round
robertson,Sebatia,angularis,na,,na,1
robertson,Petalostemum,purpureum,Dalea,purpurea,na,1
robertson,Symphoricarpos,orbicularis,Symphoricarpos,orbiculatus,na,1
robertson,Strophostyles,pauciflora,Strophostyles,pauciflorus,na,1
robertson,Ascerates,floridana,Asclepias,floridana,na,1
robertson,Scutellaria,canescans,Scutellaria,canescens ,na,1
robertson,Ellisia,nyctelaea,Ellisia,nyctelea,na,1
robertson,Galium,aperine,Galium,aparine,na,1
robertson,Ludvigia,alternifolia,Ludwigia,alternifolia,na,1
robertson,Evonymus,atropurpureus,Euonymus,atropurpureus,na,1
robertson,Actea,alba,Actaea,alba,na,1
robertson,Osmorrhiza,longistylis,Osmorhiza,longistylis,na,1
robertson,Erechthites,hieracifolia,Erechthites,hieraciifolius,na,1
robertson,Asiminia,triloba,Asimina,triloba,na,1
robertson,Ascerates,viridiflora,Asclepias,viridiflora,na,1
robertson,Eryngium,yuccifolium,Eryngium,yuccifolium,na,1
robertson,Petalostemum,candidum,Dalea,candida,na,1
robertson,Amaranthus,spinosus,Amaranthus,spinosus,na,1
robertson,Radicula,obtusa,Rorippa,teres,na,1
robertson,Cucurbita,melopepo,Cucurbita,melopepo,na,1
robertson,Philadelphus,grandiflorus,Philadelphus,inodorus,na,1
robertson,Sisyrinchium,gramineum,Sisyrinchium,gramineum,na,1
robertson,Hydrophyllum,virginianum,Hydrophyllum,virginianum,na,1
robertson,Gymnocladus,dioica,Gymnocladus,dioicus,na,1
robertson,Ilysanthes,dubia,Lindernia,dubia,na,1
robertson,Rhus,canadensis,Rhus,canadensis,na,1
robertson,Cuscuta,cephalanthi,Cuscuta,cephalanthi,na,1
robertson,Heuchera,hispida,Heuchera,americana,na,1
robertson,Houstonia,purpurea,Houstonia,purpurea,na,1
robertson,Sassafras,variifolium,Sassafras,albidum,na,1
robertson,Actinomeris,alternifolia,Verbesina,alternifolia,na,1
robertson,Eupatorium,altissimum,Eupatorium,altissimum,na,1
robertson,Campanula,americana,Campanulastrum,americanum,na,1
robertson,Eupatorium,serotinum,Eupatorium,serotinum,na,1
robertson,Ammannia,coccinea,Ammannia,coccinea,na,1
robertson,Lonicera,sullivantii,Lonicera,reticulata,na,1
robertson,Pycnanthemum,virginianum,Pycnanthemum,virginianum,na,1
robertson,Desmodium,dillenii,Desmodium,glabellum,na,1
robertson,Samolus,floribundus,Samolus,valerandi,na,1
robertson,Oxypolis,rigidior,Oxypolis,rigidior,na,1
robertson,Zizia,aurea,Zizia,aurea,na,1
robertson,Myosotis,virginica,Myosotis,macrosperma,na,1
robertson,Lappula,virginiana,Hackelia,virginiana,na,1
robertson,Desmodium,illinoense,Desmodium,illinoense,na,1
robertson,Amphicarpa,pitcheri,Amphicarpaea,bracteata,na,1
robertson,Hypoxis,hirsuta,Hypoxis,hirsuta,na,1
robertson,Pycnanthemum,flexuosum,Pycnanthemum,flexuosum,na,1
robertson,Taenidia,integerrima,Taenidia,integerrima,na,1
robertson,Abutilon,theophrasti,Abutilon,theophrasti,na,1
robertson,Martynia,louisiana,Proboscidea,louisianica,na,1
robertson,Lespedeza,virginica,Lespedeza,virginica,na,1
robertson,Steironema,lanceolatum,Lysimachia,lanceolata,na,1
robertson,Tradescantia,brevicaulis,Tradescantia,virginiana,na,1
robertson,Arabis,virginica,Sibara,virginica,na,1
robertson,Radicula,palustris,Rorippa,palustris,na,1
robertson,Desmodium,grandiflorum,Desmodium,cuspidatum,na,1
robertson,Lilium,superbum,Lilium,superbum,na,1
robertson,Gnaphalium,polycephalum,Gnaphalium,polycephalum,na,1
robertson,Bidens,laevis,Bidens,laevis,na,1
robertson,Castalia,tuberosa,Nymphaea,odorata,na,1
robertson,Hydrophyllum,appendiculatum,Hydrophyllum,appendiculatum,na,1
robertson,Potentilla,monspeliensis,Potentilla,norvegica,na,1
robertson,Nymphaea,advena,Nuphar,lutea,na,1
robertson,Impatiens,biflora,Impatiens,capensis,na,1
robertson,Cacalia,atriplicifolia,Arnoglossum,atriplicifolium,na,1
robertson,Nepeta,hederacea,Glechoma,hederacea,na,1
robertson,Seymeria,macrophylla,Dasistoma ,macrophylla,na,1
robertson,Frasera,carolinensis,Frasera,caroliniensis,na,1
robertson,Anemonella,thalictroides,Thalictrum ,thalictroides,na,1
robertson,Steironema,quadriflorum,Lysimachia,quadriflora,na,1
robertson,Dianthera,americana,Justicia,americana,na,1
robertson,Aristolochia,tomentosa,Aristolochia,tomentosa,na,1
robertson,Mertensia,virginica,Mertensia,virginica,na,1
robertson,Apios,tuberosa,Apios ,americana,na,1
robertson,Cornus,amomum,Cornus,amomum,na,1
robertson,Brauneria,purpurea,Echinacea,purpurea,na,1
robertson,Polygala,sanguinea,Polygala,sanguinea,na,1
robertson,Tradescantia,pilosa,Tradescantia,subaspera,na,1
robertson,Datura,tatula,Datura,stramonium,na,1
robertson,Gerardia,auriculata,Agalinis,auriculata,na,1
robertson,Desmodium,bracteosum,Desmodium,cuspidatum,na,1
robertson,Lepachys,pinnata,Ratibida,pinnata,na,1
robertson,Rhus,toxicodendron,Toxicodendron,pubescens,na,1
robertson,Specularia,perfoliata,Triodanis,perfoliata,na,1
robertson,Cirsium,pumilum,Cirsium,hillii,na,1
robertson,Brauneria,pallida,Echinacea,pallida,na,1
robertson,Cardamine,bulbosa,Cardamine,bulbosa,na,1
robertson,Hybanthus,concolor,Hybanthus,concolor,na,1
robertson,Clematis,pitcheri,Clematis,pitcheri,na,1
robertson,Cacalia,reniformis,Arnoglossum,reniforme,na,1
robertson,Psoralea,onobrychis,Orbexilum,onobrychis,na,1
marsham,Anemone,nemoros,Anemone,nemorosa,na,1
marsham,Betula,pendula?,Betula,pendula,na,1
marsham,Ulmus,procera?,Ulmus ,procera,na,1
marsham,Crataegus,monogyn,Crataegus,monogyna,na,1
marsham,Tilia,spp.,Tilia,NA,na,1
marsham,Acer,campestre?,Acer,campestre,na,1
marsham,Querqus,spp.,Quercus,NA,na,1
marsham,Brassica,rapa?,Brassica,rapa,na,1
